Record,Timestamp,Consent,Institution,Gender,Age,Role,Level,Course1,Course2,Course3,Course4,School,Department,YearsServed,Q1,Q2,CQIAwareof,Q3,PSIAwareof,Q4,Q5,Q6_lecture_and_presentations,Q6_case_studies,Q6_workshops_and_hands_on_experience,Q6_group_projects,Q6_simulations_and_role_playing,Q6_peer_learning_and_discussions,Q6_mentorship_and_coaching,Q6_other,Q6_other_specify,Q7_lecture_and_presentations,Q7_case_studies,Q7_workshops_and_hands_on_experience,Q7_group_projects,Q7_simulations_and_role_playing,Q7_peer_learning_and_discussions,Q7_mentorship_and_coaching,Q7_other,Q7_other_specify,Q8,Q9_process_mapping_and_workflow_analysis,Q9_data_collection_and_analysis_QI,Q9_plan_do_study_act,Q9_lean_and_six_sigma,Q9_change_management,Q9_measuring_and_monitoring_quality_metrics,Q9_team_and_communication_QI,Q9_clinical_audits,Q9_sustainability_QI,Q9_QI_project_management,Q9_regulatory_and_accreditation_standards,Q9_other,Q9_other_specify,Q10_root_cause_analysis,Q10_error_prevention_and_mitigation_startegies,Q10_medication_safety,Q10_infection_prevention_and_control,Q10_incident_reporting_and_learning_systems,Q10_human_factors_and_safety_culture,Q10_safe_care_transitions,Q10_patient_identification_and_communication,Q10_other,Q10_other_specify,Q11_timelines_of_care,Q11_patient_satisfaction,Q11_equal_quality_of_care,Q11_efficient_use_of_resources,Q11_educational_programs,Q11_clinical_care_protocols,Q11_facility_mortality_audit,Q11_other,Q11_none,Q11_other_specify,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24_lack_of_expertise_and_training,Q24_resistance_to_change,Q24_inadequate_teaching_resources,Q24_time_constraints,Q24_limited_experience_with_interdisciplinary_teaching,Q24_lack_of_motivation_or_incentives,Q24_institutional_culture,Q24_inadequate_infrastructure,Q24_competing_priorities,Q24_lack_of_leadership_support,Q24_interprofessional_collaboration,Q24_curriculum_integration_issues,Q24_sustainability_issues,Q24_other,Q24_other_specify,Q1b,Q2b,Q3b,Q4b,Q5b,Q6b,Q7b,Q8b,Q9b,Q10b,Q11b,Q1c,Q2c,Q3c,Q4c,Q5c,Q1d,Q2d,Q3d,Q4d,Q5d,Q1e,Q2e,Q3e,Q4e,Q5e,Q6e,Q1f,Q2f,Q3f,Q4f,Q5f,Q6f,Q7f,Q1g,Q2g,Q1h,Q2h,Q1i,Q2i,Q3i,Q4i,Q5i,Q6i,Q7i,Q8i,CommitteeName,Q9i,Q10i,Q11i,Q12i,Q13i,Q1j,Q2j,Complete,course
19,29/08/2024 12:05,Yes,University of Nairobi Faculty of Health Sciences,Male,20-24,Student (Including residents),Undergraduate,,MBChB (Bachelor of Medicine and Surgery),,,,,6,1.0,No,,No,,Yes,Yes,1,0,0,0,0,0,0,0,,1,0,0,0,1,0,0,0,,1.0,1,1,0,0,0,1,0,0,0,0,1,0,,1,1,1,1,1,1,1,1,0,,0,1,1,0,1,0,0,0,0,,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,5.0,3.0,Regulatory bodies,1,0,1,0,1,0,0,0,0,1,0,0,0,0,,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,KNH leadership body,2.0,2.0,2.0,2.0,3.0,1= 20 Hrs or less,2.0,Complete,MBChB (Bachelor of Medicine and Surgery)
20,[not completed],Yes,University of Nairobi Faculty of Health Sciences,Female,25-34,Student (Including residents),Undergraduate,,MBChB (Bachelor of Medicine and Surgery),,,,,5,1.0,No,,Not sure,,Yes,Yes,1,0,0,0,0,0,1,0,,0,0,0,0,0,1,1,0,,1.0,0,0,0,0,0,1,0,0,0,1,1,0,,0,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,0,,3.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,Regulatory bodies,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,1.0,2.0,4.0,4.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete,MBChB (Bachelor of Medicine and Surgery)
21,[not completed],Yes,,Female,20-24,Student (Including residents),,,,,,,,5,1.0,No,,No,,No,Not sure,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2.0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,1,1,1,1,0,1,0,,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,1,1,1,0,0,1,1,1,0,,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,4.0,,2.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,,3.0,3.0,3.0,2.0,2.0,3= 41-60 Hrs,3.0,Incomplete,
22,29/08/2024 13:36,Yes,University of Nairobi Faculty of Health Sciences,Male,20-24,Student (Including residents),Undergraduate,,MBChB (Bachelor of Medicine and Surgery),,,,,6,1.0,Not sure,,Yes,PPEs,Yes,Yes,1,1,0,1,0,1,0,0,,1,1,0,1,0,1,0,0,,1.0,0,1,0,0,1,1,1,0,1,1,1,0,,1,1,1,1,0,1,1,0,0,,1,0,1,1,1,1,1,0,0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,Faculty,0,0,0,0,0,1,0,1,0,0,0,0,1,0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,Deans office,2.0,2.0,2.0,2.0,2.0,2= 21-40 Hrs,2.0,Complete,MBChB (Bachelor of Medicine and Surgery)
23,29/08/2024 14:40,Yes,University of Nairobi Faculty of Health Sciences,Male,20-24,Student (Including residents),Undergraduate,,BScN (Bachelor of Science in Nursing),,,,,4,1.0,Not sure,,Not sure,,Not sure,Not sure,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,3.0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,Faculty,0,0,0,1,0,0,1,0,0,0,0,0,1,0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,2= 21-40 Hrs,2.0,Complete,BScN (Bachelor of Science in Nursing)
24,[not completed],Yes,University of Nairobi Faculty of Health Sciences,Male,25-34,Student (Including residents),Undergraduate,,MBChB (Bachelor of Medicine and Surgery),,,,,6,2.0,No,,No,,Yes,Yes,1,0,0,1,0,0,0,0,,0,1,0,1,0,1,0,0,,2.0,0,1,0,1,0,0,1,0,0,0,0,0,,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete,MBChB (Bachelor of Medicine and Surgery)
25,[not completed],Yes,University of Nairobi Faculty of Health Sciences,Female,25-34,Student (Including residents),Undergraduate,,MBChB (Bachelor of Medicine and Surgery),,,,,6,1.0,Not sure,,Not sure,,Not sure,Not sure,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1.0,1,1,1,1,1,1,1,1,1,1,1,0,,1,1,0,1,0,0,0,0,0,,1,1,1,1,1,1,1,0,0,,3.0,3.0,3.0,4.0,2.0,5.0,2.0,4.0,5.0,3.0,5.0,Student,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,,1.0,3.0,2.0,3.0,3.0,2= 21-40 Hrs,3.0,Incomplete,MBChB (Bachelor of Medicine and Surgery)
26,[not completed],Yes,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete,
27,30/08/2024 07:10,Yes,University of Nairobi Faculty of Health Sciences,Female,25-34,Student (Including residents),Undergraduate,,BScN (Bachelor of Science in Nursing),,,,,4th year,1.0,No,,No,,No,No,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1.0,1,1,0,1,0,1,1,1,1,0,0,0,,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,1,0,0,0,,3.0,3.0,4.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,4.0,Public,0,0,0,1,1,1,0,1,0,1,1,1,0,0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,5.0,5.0,1.0,3.0,,5.0,4.0,4.0,4.0,4.0,2= 21-40 Hrs,4.0,Complete,BScN (Bachelor of Science in Nursing)
28,[not completed],Yes,University of Nairobi Faculty of Health Sciences,Male,20-24,Student (Including residents),Undergraduate,,MBChB (Bachelor of Medicine and Surgery),,,,,6,1.0,Yes,,Yes,,Not sure,No,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1.0,0,0,0,0,0,1,0,1,0,0,0,0,,0,0,1,0,0,1,1,1,0,,0,0,0,0,1,0,1,0,0,,4.0,2.0,4.0,4.0,1.0,4.0,3.0,2.0,2.0,3.0,4.0,Public,1,1,1,1,0,0,0,0,1,1,1,0,0,0,,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,,2.0,1.0,1.0,2.0,2.0,3= 41-60 Hrs,3.0,Incomplete,MBChB (Bachelor of Medicine and Surgery)
